delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
4.9055837063650459e-06;0.00027806613791948474;1.6499284240770043e-05;-1.6499284240771524e-05;-0.00027806613791948409;1.3906844178092707e-06;4.1292529742866817e-08;-4.1292529839833759e-08;-1.390684417920375e-06
4.9738959587900673e-06;0.00027806955102096446;1.6613664725196472e-05;-1.6613664725193402e-05;-0.0002780695510209643;1.3906846817304951e-06;4.1579299259885084e-08;-4.1579299385312076e-08;-1.3906846818423214e-06
5.0431594871713585e-06;0.00027807301156615617;1.6728836718088366e-05;-1.67288367180892e-05;-0.00027807301156615585;1.390684949817285e-06;4.1868062289150699e-08;-4.1868062185818238e-08;-1.3906849497067177e-06
5.1133875384143206e-06;0.00027807652021334954;1.684480566699444e-05;-1.6844805667003279e-05;-0.00027807652021334943;1.3906852221199285e-06;4.2158835974892363e-08;-4.2158835873363599e-08;-1.3906852220078224e-06
5.1845935438929128e-06;0.00027808007762993405;1.6961577055923301e-05;-1.6961577055916827e-05;-0.0002780800776299353;1.3906854986777786e-06;4.2451632175780595e-08;-4.2451632061570617e-08;-1.3906854985698425e-06
5.2567911220184196e-06;0.00027808368449252639;1.7079156406253224e-05;-1.7079156406251218e-05;-0.00027808368449252542;1.3906857796597883e-06;4.2746467232244494e-08;-4.2746467235382017e-08;-1.3906857796588871e-06
5.3299940808440932e-06;0.0002780873414870886;1.7197549276449863e-05;-1.719754927645254e-05;-0.00027808734148708979;1.3906860650023563e-06;4.3043352360536997e-08;-4.3043352462662396e-08;-1.3906860651125059e-06
5.4042164207059153e-06;0.00027809104930907094;1.7316761262853561e-05;-1.7316761262848862e-05;-0.00027809104930907202;1.3906863549756915e-06;4.3342303426653896e-08;-4.3342303427762623e-08;-1.3906863549743097e-06
5.4794723369002811e-06;0.00027809480866352769;1.7436797999234347e-05;-1.7436797999235024e-05;-0.00027809480866352823;1.3906866495178798e-06;4.3643335149682468e-08;-4.3643335140669084e-08;-1.3906866495189276e-06
5.5557762223988777e-06;0.00027809862026525897;1.7557665157786426e-05;-1.7557665157792992e-05;-0.00027809862026525892;1.3906869486819123e-06;4.3946461578652973e-08;-4.3946461679538482e-08;-1.3906869487921896e-06
5.6331426706013522e-06;0.00027810248483893263;1.7679368448811064e-05;-1.7679368448809783e-05;-0.00027810248483893274;1.3906872527450921e-06;4.4251697294627001e-08;-4.4251697173808617e-08;-1.3906872526331978e-06
5.7115864781264349e-06;0.00027810640311923685;1.7801913621224743e-05;-1.7801913621225611e-05;-0.0002781064031192374;1.3906875615352689e-06;4.4559057802054158e-08;-4.4559057805049584e-08;-1.3906875615367393e-06
